filename, language, Properties, JavaScript, YAML, Markdown, JSON, HTML, Handlebars, comment, blank, total
o:\editor\.editorconfig, Properties, 10, 0, 0, 0, 0, 0, 0, 1, 4, 15
o:\editor\.eslintrc.js, JavaScript, 0, 84, 0, 0, 0, 0, 0, 3, 3, 90
o:\editor\.gitattributes, Properties, 70, 0, 0, 0, 0, 0, 0, 22, 16, 108
o:\editor\.travis.yml, YAML, 0, 0, 19, 0, 0, 0, 0, 0, 7, 26
o:\editor\CODE_OF_CONDUCT.md, Markdown, 0, 0, 0, 57, 0, 0, 0, 0, 20, 77
o:\editor\CONTRIBUTING.md, Markdown, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
o:\editor\Changelog.md, Markdown, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
o:\editor\LICENSE.md, Markdown, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
o:\editor\README.md, Markdown, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
o:\editor\amplify\.config\project-config.json, JSON, 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
o:\editor\amplify\backend\backend-config.json, JSON, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
o:\editor\amplify\backend\hosting\S3AndCloudFront\parameters.json, JSON, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
o:\editor\amplify\backend\hosting\S3AndCloudFront\template.json, JSON, 0, 0, 0, 0, 113, 0, 0, 0, 0, 113
o:\editor\amplify\team-provider-info.json, JSON, 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
o:\editor\app\.nginx.conf, Properties, 29, 0, 0, 0, 0, 0, 0, 54, 30, 113
o:\editor\app\app.js, JavaScript, 0, 66, 0, 0, 0, 0, 0, 23, 18, 107
o:\editor\app\components\Footer\Wrapper.js, JavaScript, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
o:\editor\app\components\Footer\index.js, JavaScript, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
o:\editor\app\components\Footer\messages.js, JavaScript, 0, 14, 0, 0, 0, 0, 0, 5, 3, 22
o:\editor\app\components\Footer\tests\Wrapper.test.js, JavaScript, 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
o:\editor\app\components\Footer\tests\index.test.js, JavaScript, 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
o:\editor\app\components\H1\index.js, JavaScript, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
o:\editor\app\components\H1\tests\index.test.js, JavaScript, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
o:\editor\app\components\H2\index.js, JavaScript, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
o:\editor\app\components\H2\tests\index.test.js, JavaScript, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
o:\editor\app\components\H3\index.js, JavaScript, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
o:\editor\app\components\H3\tests\index.test.js, JavaScript, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
o:\editor\app\components\Header\A.js, JavaScript, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
o:\editor\app\components\Header\HeaderLink.js, JavaScript, 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
o:\editor\app\components\Header\Img.js, JavaScript, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
o:\editor\app\components\Header\NavBar.js, JavaScript, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
o:\editor\app\components\Header\index.js, JavaScript, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
o:\editor\app\components\Header\messages.js, JavaScript, 0, 12, 0, 0, 0, 0, 0, 5, 3, 20
o:\editor\app\components\Header\tests\A.test.js, JavaScript, 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
o:\editor\app\components\Header\tests\Img.test.js, JavaScript, 0, 31, 0, 0, 0, 0, 0, 0, 6, 37
o:\editor\app\components\Header\tests\index.test.js, JavaScript, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
o:\editor\app\components\Img\index.js, JavaScript, 0, 11, 0, 0, 0, 0, 0, 7, 5, 23
o:\editor\app\components\Img\tests\index.test.js, JavaScript, 0, 41, 0, 0, 0, 0, 0, 0, 9, 50
o:\editor\app\components\IssueIcon\index.js, JavaScript, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
o:\editor\app\components\IssueIcon\tests\index.test.js, JavaScript, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
o:\editor\app\components\LoadingIndicator\Circle.js, JavaScript, 0, 49, 0, 0, 0, 0, 0, 0, 5, 54
o:\editor\app\components\LoadingIndicator\Wrapper.js, JavaScript, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
o:\editor\app\components\LoadingIndicator\index.js, JavaScript, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
o:\editor\app\components\LoadingIndicator\tests\Circle.test.js, JavaScript, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
o:\editor\app\components\LoadingIndicator\tests\Wrapper.test.js, JavaScript, 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
o:\editor\app\components\LoadingIndicator\tests\index.test.js, JavaScript, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
o:\editor\app\components\ParsedContent\index.js, JavaScript, 0, 28, 0, 0, 0, 0, 0, 0, 7, 35
o:\editor\app\components\S3Image\index.js, JavaScript, 0, 77, 0, 0, 0, 0, 0, 0, 17, 94
o:\editor\app\components\ToggleOption\index.js, JavaScript, 0, 12, 0, 0, 0, 0, 0, 5, 5, 22
o:\editor\app\components\ToggleOption\tests\index.test.js, JavaScript, 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
o:\editor\app\components\Toggle\Select.js, JavaScript, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
o:\editor\app\components\Toggle\index.js, JavaScript, 0, 24, 0, 0, 0, 0, 0, 6, 8, 38
o:\editor\app\components\Toggle\tests\Select.test.js, JavaScript, 0, 22, 0, 0, 0, 0, 0, 0, 6, 28
o:\editor\app\components\Toggle\tests\index.test.js, JavaScript, 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
o:\editor\app\configureStore.js, JavaScript, 0, 29, 0, 0, 0, 0, 0, 19, 12, 60
o:\editor\app\containers\App\actions.js, JavaScript, 0, 7, 0, 0, 0, 0, 0, 21, 3, 31
